n_nodes,actual_density,max_in_degree,alpha,sample_size,kl,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
5,0.4,2,0.1,600,0.009579591169756435,0.0077639999999519205,0,18,144
5,0.4,2,0.1,1000,0.007633075042662661,0.007205900000144538,0,18,144
5,0.4,2,0.1,1400,0.008563155361315945,0.007543799999893963,0,18,144
5,0.4,2,0.5,600,42.52591335971083,0.008248099999946135,0,18,144
5,0.4,2,0.5,1000,23.398322005552934,0.011014799999884417,0,18,144
5,0.4,2,0.5,1400,23.69887553163282,0.009491199999956734,0,18,144
5,0.4,2,0.5,600,35.96940349154163,0.011829000000034284,0,18,144
5,0.4,2,0.5,1000,31.860562444998983,0.007853300000078889,0,18,144
5,0.4,2,0.5,1400,31.826438530667826,0.011577399999850968,0,18,144
5,0.4,2,0.5,600,32.33484980370442,0.007393100000172126,0,18,144
5,0.4,2,0.5,1000,32.617618159810014,0.007495899999867106,0,18,144
5,0.4,2,0.5,1400,32.427462562648984,0.007660899999791582,0,18,144
5,0.4,2,0.5,600,18.20085620674579,0.0083910000000742,0,18,144
5,0.4,2,0.5,1000,18.229201055357418,0.00832869999999275,0,18,144
5,0.4,2,0.5,1400,18.142284695801578,0.007211300000108167,0,18,144
5,0.4,2,0.5,600,51.63459327409044,0.007330599999932019,0,18,144
5,0.4,2,0.5,1000,51.680982968152655,0.007769900000084817,0,18,144
5,0.4,2,0.5,1400,51.623146816444475,0.008140799999864612,0,18,144
5,0.4,2,1.0,600,49.64788470438868,0.008591600000045219,0,18,144
5,0.4,2,1.0,1000,42.882027313924894,0.00897450000002209,0,18,144
5,0.4,2,1.0,1400,43.002479304850965,0.00760220000006484,0,18,144
5,0.4,2,1.0,600,35.646529048655026,0.01160129999993842,0,18,144
5,0.4,2,1.0,1000,24.273919915126143,0.013450599999941915,0,18,144
5,0.4,2,1.0,1400,24.183630584252498,0.01107899999988149,0,18,144
5,0.4,2,1.0,600,39.86583825828024,0.009602999999970052,0,18,144
5,0.4,2,1.0,1000,39.94829066345951,0.008816799999976865,0,18,144
5,0.4,2,1.0,1400,39.89386491944834,0.007830300000023271,4096,18,144
5,0.4,2,1.0,600,23.417124243569535,0.008281699999997727,0,18,144
5,0.4,2,1.0,1000,23.808684199123757,0.00881800000001931,0,18,144
5,0.4,2,1.0,1400,23.4777054633987,0.008280000000013388,0,18,144
5,0.4,2,1.0,600,42.31326667718777,0.008657300000095347,0,18,144
5,0.4,2,1.0,1000,42.139602610544735,0.008250699999962308,0,18,144
5,0.4,2,1.0,1400,42.17445045436399,0.00782959999992272,0,18,144
5,0.4,2,5.0,600,35.76015358230133,0.008725599999934275,0,18,144
5,0.4,2,5.0,1000,29.592627999693864,0.00811159999989286,0,18,144
5,0.4,2,5.0,1400,29.68885162243153,0.007821800000101575,0,18,144
5,0.4,2,5.0,600,42.58288273283101,0.007762499999898864,0,18,144
5,0.4,2,5.0,1000,39.26105181037846,0.009238700000196332,0,18,144
5,0.4,2,5.0,1400,39.2301329318469,0.008575300000075003,0,18,144
5,0.4,2,5.0,600,25.776046416062147,0.011895100000174352,0,18,144
5,0.4,2,5.0,1000,25.97712084271521,0.007303599999886501,0,18,144
5,0.4,2,5.0,1400,25.83523314299972,0.00784109999995053,0,18,144
5,0.4,2,5.0,600,24.209162757926148,0.009594800000058967,0,18,144
5,0.4,2,5.0,1000,24.453274333581476,0.010031899999830785,0,18,144
5,0.4,2,5.0,1400,24.314143968707555,0.007250700000213328,0,18,144
5,0.4,2,5.0,600,53.67767634758469,0.007360899999866888,0,18,144
5,0.4,2,5.0,1000,53.69391315250951,0.007689399999890156,0,18,144
5,0.4,2,5.0,1400,53.54025488115226,0.007736199999953897,0,18,144
5,0.4,2,0.1,600,0.015771029387340322,0.007225999999945998,0,18,144
5,0.4,2,0.1,1000,0.008809965005876734,0.008266999999932523,12288,18,144
5,0.4,2,0.1,1400,0.008772913489422659,0.007976099999950748,16384,18,144
5,0.4,2,0.1,600,0.04351106504119008,0.007815000000164218,0,18,144
5,0.4,2,0.1,1000,0.01143669052602517,0.007470699999885255,0,18,144
5,0.4,2,0.1,1400,0.011653172340453433,0.00830509999991591,0,18,144
5,0.4,2,0.1,600,0.003473935870920131,0.00766909999993004,0,18,144
5,0.4,2,0.1,1000,0.004249235150978117,0.008903299999929004,0,18,144
5,0.4,2,0.1,1400,0.003979991096813508,0.00807940000004237,0,18,144
5,0.4,2,0.1,600,0.013480327363938048,0.008271299999933035,0,18,144
5,0.4,2,0.1,1000,0.0056303717329207435,0.008068500000035783,0,18,144
5,0.4,2,0.1,1400,0.002979452657439626,0.007660299999997733,8192,18,144
5,0.4,2,0.1,600,0.009579591169756435,0.007410100000015518,4096,18,144
5,0.4,2,0.1,1000,0.007633075042662661,0.007826799999975265,8192,18,144
5,0.4,2,0.1,1400,0.008563155361315945,0.009182300000020405,0,18,144
5,0.4,2,0.5,600,42.52591335971083,0.011444500000152402,0,18,144
5,0.4,2,0.5,1000,23.398322005552934,0.011278400000037436,0,18,144
5,0.4,2,0.5,1400,23.69887553163282,0.01022130000001198,0,18,144
5,0.4,2,0.5,600,35.96940349154163,0.011261999999987893,0,18,144
5,0.4,2,0.5,1000,31.860562444998983,0.01027709999993931,0,18,144
5,0.4,2,0.5,1400,31.826438530667826,0.008405799999991359,0,18,144
5,0.4,2,0.5,600,32.33484980370442,0.007515600000033373,0,18,144
5,0.4,2,0.5,1000,32.617618159810014,0.008158200000025317,0,18,144
5,0.4,2,0.5,1400,32.427462562648984,0.009300400000029185,12288,18,144
5,0.4,2,0.5,600,18.20085620674579,0.00934159999997064,0,18,144
5,0.4,2,0.5,1000,18.229201055357418,0.012937100000044666,0,18,144
5,0.4,2,0.5,1400,18.142284695801578,0.008840999999847554,0,18,144
5,0.4,2,0.5,600,51.63459327409044,0.010186100000055376,0,18,144
5,0.4,2,0.5,1000,51.680982968152655,0.009807800000089628,0,18,144
5,0.4,2,0.5,1400,51.623146816444475,0.007976999999982581,0,18,144
5,0.4,2,1.0,600,49.64788470438868,0.008289699999977529,0,18,144
5,0.4,2,1.0,1000,42.882027313924894,0.007556100000101651,0,18,144
5,0.4,2,1.0,1400,43.002479304850965,0.007835799999838855,0,18,144
