n_nodes,actual_density,max_in_degree,alpha,kl,sample_size
10,0.28888888888888886,2,0.1,3.3111410408607425,200
10,0.28888888888888886,2,0.1,3.3038131257414034,600
10,0.28888888888888886,2,0.1,3.302300603458458,1000
10,0.28888888888888886,2,0.1,3.3018442250934132,1400
10,0.28888888888888886,2,0.1,2.2164788825588975,200
10,0.28888888888888886,2,0.1,2.079231126372529,600
10,0.28888888888888886,2,0.1,2.031160037794821,1000
10,0.28888888888888886,2,0.1,2.022444761566936,1400
10,0.28888888888888886,2,0.1,1.851645352945979,200
10,0.28888888888888886,2,0.1,1.6066855674022014,600
10,0.28888888888888886,2,0.1,1.5943235041689319,1000
10,0.28888888888888886,2,0.1,1.5016820161144055,1400
10,0.28888888888888886,2,0.1,1.8182649264178772,200
10,0.28888888888888886,2,0.1,1.8052596961387644,600
10,0.28888888888888886,2,0.1,1.80061845756252,1000
10,0.28888888888888886,2,0.1,1.7979307676618272,1400
10,0.28888888888888886,2,0.1,2.4626405073364843,200
10,0.28888888888888886,2,0.1,2.4144166264952642,600
10,0.28888888888888886,2,0.1,2.4088196996733147,1000
10,0.28888888888888886,2,0.1,2.406965623818257,1400
10,0.28888888888888886,2,0.5,0.38701278974662157,200
10,0.28888888888888886,2,0.5,0.1771989287788012,600
10,0.28888888888888886,2,0.5,0.0871567977410294,1000
10,0.28888888888888886,2,0.5,0.0626718182572938,1400
10,0.28888888888888886,2,0.5,0.29377038502829855,200
10,0.28888888888888886,2,0.5,0.0628585215546733,600
10,0.28888888888888886,2,0.5,0.030905671835004433,1000
10,0.28888888888888886,2,0.5,0.019757175806286758,1400
10,0.28888888888888886,2,0.5,0.13640860949696215,200
10,0.28888888888888886,2,0.5,0.03502480294315915,600
10,0.28888888888888886,2,0.5,0.028072669071688306,1000
10,0.28888888888888886,2,0.5,0.04123580058245036,1400
10,0.28888888888888886,2,0.5,0.35570428483107314,200
10,0.28888888888888886,2,0.5,0.18233246394289518,600
10,0.28888888888888886,2,0.5,0.1475356560324836,1000
10,0.28888888888888886,2,0.5,0.10092025000353234,1400
10,0.28888888888888886,2,0.5,0.14959631495569625,200
10,0.28888888888888886,2,0.5,0.09128423225079355,600
10,0.28888888888888886,2,0.5,0.04859996382315666,1000
10,0.28888888888888886,2,0.5,0.0237109962210794,1400
10,0.28888888888888886,2,1.0,0.2594759586256722,200
10,0.28888888888888886,2,1.0,0.07483239060541468,600
10,0.28888888888888886,2,1.0,0.0363089852019336,1000
10,0.28888888888888886,2,1.0,0.019379680678986124,1400
10,0.28888888888888886,2,1.0,0.19614844729890313,200
10,0.28888888888888886,2,1.0,0.027973416418749897,600
10,0.28888888888888886,2,1.0,0.03645297177336626,1000
10,0.28888888888888886,2,1.0,0.040233176456723585,1400
10,0.28888888888888886,2,1.0,0.05402857743259771,200
10,0.28888888888888886,2,1.0,0.03157862486814398,600
10,0.28888888888888886,2,1.0,0.020264477606414782,1000
10,0.28888888888888886,2,1.0,0.011621288543898862,1400
10,0.28888888888888886,2,1.0,0.08959624711707065,200
10,0.28888888888888886,2,1.0,0.0344144376132493,600
10,0.28888888888888886,2,1.0,0.018560469929411978,1000
10,0.28888888888888886,2,1.0,0.011875138083988341,1400
10,0.28888888888888886,2,1.0,0.08112580565018854,200
10,0.28888888888888886,2,1.0,0.02430603445072447,600
10,0.28888888888888886,2,1.0,0.015171102902964445,1000
10,0.28888888888888886,2,1.0,0.01433157251772739,1400
10,0.28888888888888886,2,5.0,0.05253409648055821,200
10,0.28888888888888886,2,5.0,0.031206483602798145,600
10,0.28888888888888886,2,5.0,0.0118849975207354,1000
10,0.28888888888888886,2,5.0,0.01362420698809453,1400
10,0.28888888888888886,2,5.0,0.0954004791609115,200
10,0.28888888888888886,2,5.0,0.02430008823069044,600
10,0.28888888888888886,2,5.0,0.01841426969453468,1000
10,0.28888888888888886,2,5.0,0.014381795844009709,1400
