dag_idx,n_nodes,in_degree,alpha,sample_size,kl,density,fit_time_s,fit_rss_delta_bytes,total_stored_params,total_memory_bytes
2,5,8,0.1,1400,0.0017760293782995583,1.0,0.024772415999905206,16384,62,496
3,5,8,0.1,600,0.01598689508043158,1.0,0.028070373999071307,4096,62,496
3,5,8,0.1,1000,0.01632945469398189,1.0,0.02740289500070503,4096,62,496
3,5,8,0.1,1400,0.016004711530739783,1.0,0.02813875799984089,20480,62,496
4,5,8,0.1,600,0.011519428698186916,1.0,0.027465795999887632,4096,62,496
4,5,8,0.1,1000,0.005926143723028256,1.0,0.027093091997812735,4096,62,496
4,5,8,0.1,1400,0.005975724691168887,1.0,0.02581205000024056,4096,62,496
5,5,8,0.1,600,0.010540907120347621,1.0,0.028396118003001902,8192,62,496
5,5,8,0.1,1000,0.0073670814378908635,1.0,0.027173765000043204,0,62,496
5,5,8,0.1,1400,0.007609756213536591,1.0,0.026824707998457598,0,62,496
1,5,8,0.5,600,0.05161325965814067,1.0,0.02761938199910219,4096,62,496
1,5,8,0.5,1000,0.0401668208279817,1.0,0.035606395998911466,4096,62,496
1,5,8,0.5,1400,0.034680032784183926,1.0,0.02757596399897011,0,62,496
2,5,8,0.5,600,0.13723649608765032,1.0,0.027484488000482088,0,62,496
2,5,8,0.5,1000,0.0499056910691679,1.0,0.027353614001185633,16384,62,496
2,5,8,0.5,1400,0.04814774613057024,1.0,0.028060702999937348,12288,62,496
3,5,8,0.5,600,0.23407793250017417,1.0,0.02808379300040542,0,62,496
3,5,8,0.5,1000,0.1487669479881301,1.0,0.0285279960007756,8192,62,496
3,5,8,0.5,1400,0.10098326546806725,1.0,0.02818733000094653,4096,62,496
4,5,8,0.5,600,0.13387589245196954,1.0,0.027399981001508422,0,62,496
4,5,8,0.5,1000,0.028238349199983328,1.0,0.02668330300002708,4096,62,496
4,5,8,0.5,1400,0.0223079282924766,1.0,0.02883734300121432,4096,62,496
5,5,8,0.5,600,0.24007557085092857,1.0,0.028472240999690257,0,62,496
5,5,8,0.5,1000,0.10694677853895482,1.0,0.027681645999109605,4096,62,496
5,5,8,0.5,1400,0.07567137212715373,1.0,0.02708953600085806,4096,62,496
1,5,8,1.0,600,0.09005389517064259,1.0,0.028149989997473313,4096,62,496
1,5,8,1.0,1000,0.08733866212295667,1.0,0.026461344001290854,8192,62,496
1,5,8,1.0,1400,0.08133416807724073,1.0,0.026580425997963175,16384,62,496
2,5,8,1.0,600,0.048592642017867366,1.0,0.027474566999444505,0,62,496
2,5,8,1.0,1000,0.02461880931177771,1.0,0.026715629999671364,8192,62,496
2,5,8,1.0,1400,0.019017365386891964,1.0,0.026875248000578722,12288,62,496
3,5,8,1.0,600,0.3395533304364857,1.0,0.02770152599987341,0,62,496
3,5,8,1.0,1000,0.0675048530216966,1.0,0.026399452002806356,4096,62,496
3,5,8,1.0,1400,0.06704796542717,1.0,0.026915903999906732,4096,62,496
4,5,8,1.0,600,0.13815125626909758,1.0,0.028644417998293648,4096,62,496
4,5,8,1.0,1000,0.08669210908550047,1.0,0.02687649699873873,0,62,496
4,5,8,1.0,1400,0.0813151205936168,1.0,0.02741374000106589,0,62,496
5,5,8,1.0,600,0.23987856093796145,1.0,0.02629742899807752,4096,62,496
5,5,8,1.0,1000,0.22893339952907932,1.0,0.027373087003070395,16384,62,496
5,5,8,1.0,1400,0.05305171342781588,1.0,0.027683587999490555,12288,62,496
1,5,10,0.1,600,0.006166591293734487,1.0,0.027838993999466766,4096,62,496
1,5,10,0.1,1000,0.007341489595075703,1.0,0.02859165799964103,4096,62,496
1,5,10,0.1,1400,0.008823390372692372,1.0,0.02799603799940087,12288,62,496
2,5,10,0.1,600,0.0027713002248798153,1.0,0.028034335999109317,0,62,496
2,5,10,0.1,1000,0.002328982335705139,1.0,0.028587916000105906,8192,62,496
2,5,10,0.1,1400,0.002097953781437689,1.0,0.029056440998829203,4096,62,496
3,5,10,0.1,600,0.0060977436776448015,1.0,0.02868638900326914,0,62,496
